ir_led1,ir_led2
-104393, -100299
-104164, -100309
-104130, -100345
-104204, -100351
-104342, -100378
-104465, -100405
-104518, -100437
-104545, -100426
-104601, -100432
-104718, -100404
-104784, -100356
-104900, -100302
-105004, -100233
-105095, -100258
-105208, -100286
-105287, -100275
-105372, -100295
-105256, -100278
-105006, -100279
-104721, -100266
-104545, -100280
-104534, -100270
-104603, -100293
-104739, -100302
-104802, -100325
-104851, -100325
-104874, -100326
-104915, -100276
-105001, -100201
-105094, -100127
-105188, -100087
-105278, -100091
-105386, -100114
-105460, -100132
-105568, -100125
-105645, -100128
-105499, -100124
-105272, -100117
-105044, -100119
-104906, -100140
-104903, -100147
-104975, -100152
-105078, -100178
-105099, -100174
-105120, -100178
-105133, -100145
-105193, -100062
-105237, -99970
-105309, -99934
-105391, -99928
-105468, -99954
-105553, -99970
-105632, -99983
-105650, -99972
-105503, -99986
-105239, -99990
-104961, -99996
-104808, -100011
-104752, -100040
-104797, -100041
-104868, -100058
-104927, -100082
-105188, -100092
-104982, -100092
-105012, -100067
-105087, -99995
-105173, -99869
-105265, -99820
-105345, -99822
-105440, -99833
-105479, -99867
-105372, -99867
-105074, -99854
-104718, -99857
-104457, -99853
-104329, -99872
-104329, -99893
-104395, -99933
-104456, -99943
-104485, -99968
-104494, -99971
-104511, -99991
-104588, -99995
-104657, -99994
-104746, -99923
-104862, -99817
-104946, -99727
-105017, -99711
-105151, -99726
-105230, -99741
-105210, -99764
-104957, -99782
-104550, -99763
-104172, -99761
-103994, -99756
-103957, -99768
-104012, -99809
-104099, -99823
-104138, -99845
-104173, -99858
-104189, -99870
-104251, -99882
-104320, -99871
-104413, -99846
-104521, -99760
-104635, -99660
-104724, -99618
-104836, -99632
-104942, -99639
-105025, -99671
-104945, -99680
-104653, -99677
-104184, -99677
-103801, -99674
-103680, -99716
-103700, -99710
-103768, -99750
-103839, -99768
-103877, -99770
-103890, -99794
-103912, -99814
-103994, -99815
-104080, -99815
-104176, -99788
-104300, -99666
-104387, -99581
-104481, -99532
-104561, -99563
-104664, -99594
-104695, -99632
-104514, -99650
-104066, -99653
-103577, -99656
-103334, -99664
-103317, -99686
-103411, -99704
-103512, -99732
-103602, -99744
-103650, -99754
-103651, -99775
-103718, -99772
-103810, -99778
-103915, -99790
-104056, -99768
-104192, -99647
-104298, -99553
-104403, -99489
-104510, -99507
-104606, -99546
-104668, -99576
-104510, -99614
-104037, -99590
-103479, -99597
-103233, -99603
-103191, -99626
-103270, -99647
-103399, -99663
-103480, -99699
-103516, -99695
-103520, -99727
-103582, -99743
-103658, -99755
-103738, -99779
-103875, -99722
-104029, -99608
-104258, -99514
-104369, -99496
-104445, -99493
-104546, -99560
-104505, -99568
-104140, -99573
-103541, -99577
-103173, -99559
-103073, -99568
-103136, -99571
-103281, -99586
-103408, -99598
-103459, -99617
-103494, -99623
-103514, -99643
-103579, -99639
-103667, -99614
-103789, -99515
-103926, -99406
-104029, -99378
-104137, -99398
-104252, -99434
-104347, -99474
-104431, -99503
-104354, -99483
-103878, -99508
-103372, -99518
-103092, -99524
-103071, -99574
-103172, -99597
-103316, -99607
-103403, -99638
-103424, -99659
-103423, -99670
-103458, -99675
-103529, -99634
-103635, -99514
-103760, -99420
-103872, -99412
-103988, -99432
-104103, -99462
-104189, -99507
-104221, -99516
-103918, -99518
-103358, -99512
-102959, -99535
-102861, -99553
-102948, -99566
-103097, -99581
-103273, -99591
-103347, -99615
-103372, -99636
-103436, -99651
-103508, -99651
-103601, -99626
-103742, -99489
-103867, -99379
-104003, -99347
-104128, -99374
-104250, -99393
-104355, -99419
-104355, -99427
-104000, -99415
-103444, -99418
-103094, -99438
-103008, -99458
-103074, -99441
-103211, -99499
-103350, -99496
-103430, -99496
-103460, -99497
-103505, -99527
-103583, -99535
-103693, -99546
-103814, -99464
-103966, -99358
-104056, -99278
-104153, -99308
-104293, -99313
-104369, -99343
-104421, -99393
-104205, -99377
-103669, -99386
-103192, -99400
-102974, -99421
-102958, -99442
-103072, -99458
-103214, -99479
-103278, -99487
-103312, -99508
-103307, -99536
-103307, -99539
-103366, -99553
-103471, -99505
-103570, -99402
-103655, -99329
-103722, -99325
-103802, -99352
-103888, -99378
-103953, -99417
-103914, -99430
-103586, -99415
-103051, -99423
-102751, -99430
-102820, -99444
-103009, -99486
-103138, -99501
-103205, -99500
-103230, -99528
-103272, -99548
-103347, -99573
-103440, -99586
-103565, -99588
-103663, -99523
-103755, -99412
-103833, -99362
-103941, -99367
-104025, -99391
-104102, -99424
-103949, -99431
-103491, -99424
-103039, -99399
-102870, -99401
-102904, -99408
-103050, -99431
-103197, -99447
-103317, -99478
-103340, -99490
-103373, -99513
-103438, -99517
-103511, -99491
-103612, -99493
-103722, -99429
-103825, -99297
-103924, -99228
-104020, -99188
-104129, -99172
-104219, -99183
-104270, -99177
-104052, -99171
-103545, -99132
-103121, -99110
-102926, -99088
-102969, -99102
-103095, -99097
-103232, -99145
-103293, -99206
-103313, -99232
-103333, -99276
-103381, -99309
-103448, -99299
-103548, -99239
-103686, -99148
-103765, -99114
-103877, -99144
-103998, -99170
-104071, -99208
-104151, -99219
-104096, -99228
-103711, -99257
-103158, -99244
-102849, -99252
-102853, -99273
-102959, -99286
-103132, -99294
-103229, -99312
-103246, -99321
-103235, -99320
-103245, -99285
-103287, -99180
-103353, -99105
-103394, -99095
-103467, -99111
-103567, -99131
-103671, -99141
-103783, -99150
-103834, -99142
-103752, -99122
-103358, -99124
-102922, -99134
-102786, -99150
-102831, -99128
-102950, -99181
-103104, -99141
-103212, -99175
-103244, -99141
-103235, -99024
-103310, -98927
-103404, -98890
-103507, -98902
-103622, -98924
-103719, -98964
-103840, -98968
-103950, -98970
-103987, -98954
-103741, -98956
-103239, -98979
-102820, -98992
-102713, -99008
-102791, -99011
-102961, -99026
-103134, -99040
-103204, -99027
-103260, -98967
-103278, -98825
-103427, -98729
-103504, -98665
-103591, -98666
-103698, -98676
-103798, -98676
-103889, -98685
-103782, -98653
-103331, -98650
-102778, -98658
-102519, -98668
-102517, -98686
-102652, -98693
-102818, -98711
-102970, -98735
-103016, -98747
-103037, -98786
-103067, -98796
-103130, -98771
-103230, -98675
-103313, -98542
-103400, -98481
-103511, -98467
-103564, -98485
-103668, -98501
-103491, -98530
-102940, -98526
-102425, -98522
-102217, -98519
-102226, -98533
-102356, -98568
-102534, -98571
-102654, -98612
-102701, -98626
-102696, -98634
-102733, -98669
-102811, -98678
-102917, -98688
-103012, -98699
-103124, -98693
-103197, -98592
-103276, -98460
-103359, -98389
-103430, -98386
-103456, -98407
-103183, -98420
-102581, -98465
-102158, -98445
-102061, -98443
-102116, -98461
-102272, -98471
-102442, -98496
-102541, -98522
-102585, -98550
-102608, -98549
-102655, -98581
-102761, -98580
-102863, -98571
-102972, -98583
-103073, -98582
-103155, -98551
-103230, -98421
-103288, -98309
-103382, -98273
-103451, -98278
-103502, -98290
-103326, -98311
-102767, -98321
-102249, -98305
-102102, -98291
-102152, -98309
-102287, -98320
-102464, -98327
-102583, -98350
-102636, -98365
-102615, -98387
-102671, -98396
-102768, -98412
-102839, -98426
-102977, -98419
-103065, -98395
-103157, -98305
-103222, -98200
-103296, -98139
-103360, -98180
-103422, -98185
-103466, -98212
-103258, -98233
-102692, -98217
-102236, -98214
-102125, -98204
-102196, -98223
-102362, -98241
-102517, -98266
-102620, -98280
-102619, -98293
-102624, -98323
-102666, -98328
-102742, -98353
-102847, -98363
-102929, -98374
-102993, -98369
-103099, -98291
-103154, -98169
-103328, -98122
-103368, -98111
-103273, -98129
-102772, -98166
-102247, -98168
-102051, -98171
-102095, -98147
-102216, -98150
-102394, -98150
-102516, -98167
-102564, -98194
-102558, -98211
-102581, -98225
-102633, -98238
-102726, -98253
-102831, -98283
-102914, -98282
-103014, -98286
-103087, -98229
-103167, -98114
-103234, -98040
-103325, -97995
-103357, -98020
-103405, -98030
-103096, -98054
-102486, -98042
-102080, -98027
-101986, -98013
-102075, -98006
-102233, -98039
-102383, -98028
-102464, -98054
-102469, -98065
-102466, -98072
-102491, -98080
-102576, -98079
-102675, -98067
-102767, -97995
-102855, -97870
-102933, -97821
-103009, -97824
-103084, -97841
-103152, -97873
-103237, -97882
-103169, -97868
-102725, -97850
-102164, -97834
-101935, -97844
-101954, -97852
-102105, -97872
-102283, -97889
-102387, -97900
-102442, -97934
-102411, -97906
-102422, -97917
-102470, -97894
-102562, -97761
-102661, -97654
-102729, -97620
-102815, -97606
-102872, -97611
-102951, -97626
-102994, -97642
-102887, -97646
-102406, -97629
-101914, -97632
-101763, -97643
-101836, -97661
-101999, -97696
-102186, -97710
-102278, -97733
-102304, -97749
-102281, -97753
-102309, -97773
-102354, -97775
-102459, -97751
-102555, -97642
-102612, -97574
-102702, -97542
-102773, -97545
-102835, -97595
-102901, -97610
-102779, -97614
-102282, -97613
-101742, -97618
-101548, -97619
-101611, -97659
-101749, -97692
-101930, -97721
-102053, -97737
-102094, -97757
-102075, -97800
-102097, -97812
-102164, -97821
-102263, -97840
-102359, -97817
-102466, -97722
-102528, -97622
-102595, -97601
-102671, -97622
-102722, -97654
-102800, -97678
-102638, -97706
-101629, -97697
-101517, -97688
-101620, -97691
-101777, -97722
-101956, -97727
-102066, -97759
-102090, -97777
-102100, -97799
-102121, -97821
-102197, -97837
-102310, -97849
-102406, -97858
-102505, -97782
-102594, -97665
-102659, -97605
-102730, -97610
-102807, -97639
-102859, -97676
-102816, -97701
-102379, -97706
-101855, -97698
-101657, -97703
-101710, -97710
-101884, -97742
-102066, -97765
-102178, -97803
-102230, -97828
-102204, -97844
-102242, -97878
-102309, -97898
-102395, -97892
-102484, -97896
-102580, -97788
-102664, -97682
-102718, -97657
-102795, -97673
-102859, -97720
-102909, -97761
-102705, -97805
-102161, -97789
-101758, -97791
-101699, -97800
-101802, -97814
-101972, -97855
-102142, -97883
-102222, -97924
-102235, -97970
-102231, -98001
-102257, -98023
-102351, -98066
-102427, -98075
-102525, -98085
-102618, -97996
-102679, -97882
-102732, -97835
-102798, -97816
-102864, -97852
-102884, -97884
-102583, -97925
-102038, -97931
-101653, -97922
-101623, -97927
-101721, -97952
-101895, -97966
-102066, -97984
-102146, -98026
-102153, -98035
-102154, -98051
-102212, -98079
-102277, -98080
-102378, -98103
-102466, -98053
-102562, -97938
-102636, -97860
-102684, -97838
-102797, -97852
-102843, -97895
-102896, -97924
-102801, -97925
-102282, -97904
-101792, -97923
-101620, -97903
-101682, -97935
-101821, -97961
-102023, -98006
-102128, -98018
-102182, -98052
-102154, -98077
-102197, -98096
-102276, -98111
-102345, -98111
-102449, -98012
-102523, -97905
-102585, -97855
-102656, -97871
-102727, -97883
-102795, -97934
-102837, -97957
-102577, -97966
-102014, -97955
-101633, -97959
-101612, -97982
-101724, -98022
-102087, -98051
-102143, -98063
-102154, -98111
-102136, -98133
-102198, -98143
-102262, -98178
-102349, -98200
-102435, -98221
-102514, -98143
-102590, -98024
-102653, -97955
-102735, -97930
-102806, -97964
-102782, -97987
-102366, -98028
-101785, -98038
-101518, -98025
-101537, -98034
-101684, -98036
-101842, -98065
-102020, -98085
-102073, -98109
-102048, -98115
-102094, -98139
-102141, -98145
-102219, -98170
-102342, -98177
-102430, -98171
-102529, -98102
-102609, -97973
-102675, -97908
-102760, -97908
-102818, -97925
-102884, -97973
-102669, -98005
-102115, -97992
-101648, -97989
-101530, -97980
-101635, -98012
-101777, -98039
-101974, -98059
-102089, -98091
-102100, -98101
-102099, -98118
-102132, -98144
-102206, -98183
-102313, -98196
-102400, -98218
-102465, -98142
-102578, -98021
-102616, -97936
-102710, -97950
-102786, -97953
-102833, -97995
-102674, -98039
-102130, -98016
-101669, -98024
-101570, -98008
-101677, -98039
-101831, -98065
-102038, -98095
-102127, -98119
-102142, -98172
-102119, -98190
-102181, -98213
-102247, -98242
-102353, -98261
-102455, -98270
-102554, -98258
-102649, -98155
-102714, -98028
-102792, -97986
-102882, -97992
-102927, -98009
-102855, -98038
-102362, -98058
-101762, -98048
-101547, -98036
-101606, -98043
-101735, -98069
-101911, -98087
-102048, -98091
-102099, -98128
-102091, -98131
-102123, -98151
-102193, -98149
-102299, -98160
-102385, -98152
-102502, -98046
-102593, -97937
-102686, -97901
-102770, -97905
-102847, -97912
-102931, -97959
-102999, -97973
-102870, -97956
-102291, -97932
-101754, -97911
-101583, -97926
-101631, -97964
-101789, -97977
-101965, -98014
-102133, -98019
-102125, -98015
-102138, -98034
-102215, -98048
-102295, -98036
-102399, -97965
-102485, -97849
-102567, -97801
-102651, -97803
-102725, -97823
-102791, -97885
-102757, -97908
-102313, -97911
-101742, -97906
-101519, -97904
-101558, -97940
-101715, -97954
-101881, -97989
-102054, -98014
-102083, -98034
-102046, -98054
-102047, -98066
-102090, -98085
-102206, -98077
-102296, -98082
-102363, -98008
-102450, -97884
-102512, -97855
-102581, -97856
-102637, -97879
-102669, -97889
-102365, -97926
-101754, -97918
-101346, -97907
-101310, -97914
-101425, -97932
-101590, -97968
-101779, -97981
-101850, -97998
-101840, -98011
-101826, -98019
-101870, -98016
-101959, -98035
-102072, -98042
-102164, -98043
-102224, -97975
-102299, -97831
-102362, -97776
-102408, -97770
-102508, -97766
-102539, -97774
-102284, -97801
-101689, -97772
-101254, -97756
-101190, -97765
-101304, -97746
-101458, -97762
-101641, -97764
-101712, -97763
-101708, -97780
-101679, -97786
-101727, -97793
-101840, -97787
-101912, -97778
-102031, -97664
-102118, -97562
-102183, -97529
-102232, -97515
-102315, -97522
-102402, -97556
-102452, -97568
-102381, -97549
-101867, -97531
-101326, -97535
-101118, -97548
-101224, -97565
-101335, -97575
-101536, -97601
-101659, -97598
-101636, -97627
-101601, -97655
-101618, -97637
-101680, -97658
-101776, -97580
-101866, -97462
-101932, -97386
-101995, -97364
-102076, -97363
-102130, -97401
-102199, -97439
-102000, -97444
-101428, -97442
-100986, -97457
-100909, -97474
-101036, -97493
-101189, -97509
-101386, -97546
-101448, -97575
-101437, -97589
-101392, -97617
-101435, -97640
-101543, -97660
-101625, -97692
